TWEET,BELIEF,CONFIDENCE
cute i mention global warming and a denialist sends me a link to a finnish newspaper article purportedly refuting it,Yes,0.6702
is nationalizing the energy industry necessary to fight global warming url,Yes,1
blog a preliminary analysis suggests that natural gas could contribute far more to global warming than previously url,Yes,0.9128
iceland volcano not likely to slow global warming a vast cloud from an intensifying volcanic eruption in iceland url,Yes,0.6539
iceland volcano not likely to slow global warming a vast cloud from an intensifying volcanic eruption in iceland url,Yes,1
reading from user allergies worse than ever blame global warming url,Yes,1
the 6bn redd forest conservation partnership to curb climate change leaves on env l groups indigenous populations url,Yes,0.6508
2 3rds of tbaggers don t think climate change is a serious problem as i said they re ignorant,Yes,1
missing heat may affect future climate change url environment eco,Yes,0.6535
climate change building a green economy url,Yes,0.6715
climate change threatening glacier national park and montana s economy examiner com url,Yes,1
new york climate change could raise cost of allergies url,Yes,1
ecotone climate change from a population perspective url cities environment via user,Yes,0.5318
climate change blamed as coastal whale migration dwindles ventura county url via user,Yes,0.6554
think your allergies are bad now wait until climate change kicks in michig url via user,Yes,1
exclusive climate change could raise cost of u s allergies reuters url via user,Yes,1
spring storm season starting a little late this year must be global warming,No,0.6502
kenya extreme weather tests pastoralist perceptions the effects of climate change such as drought url africa,Yes,0.6598
climate change is not just about the climate it is about our lives treehugger url via user,Yes,1
all 3 major league baseball teams throw curve to climate change deniers url,Yes,1
climate change 1 endangered places and how to save them newsweek url via user,Yes,1
tip of the day plant one tree on your birthday plants absorb co2 which helps reduce global warming,Yes,1
green net how the internet computing can fight climate change url,Yes,1
green net how the internet computing can fight climate change the internet software computing url via user,Yes,1
leaked u s document calls for global regime to tackle climate change url via user,Yes,0.6603
climate change 1 endangered places and how to save them newsweek url,Yes,1
reinvent cities to stop climate change url via user,Yes,1
climate change continues to melt glacier national park s icons national p url via user,Yes,1
climate change 1 endangered places and how to save them newsweek url via user,Yes,0.7096
climate change 1 endangered places and how to save them newsweek url via user,Yes,1
abu dhabi faces climate change flood threat expert culture society arabia url via user,Yes,1
china active serious in tackling climate change says vice president humani url via user,Yes,1
you and us and me china active serious in tackling climate change says vic url via user,Yes,1
study se asia will be hit hard by climate change url via user,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 27,Yes,1
obama china must act soon on climate change url,Yes,1
if capitalism doesn t end climate change climate change will end capitalism degrowth url,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 28,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 29,Yes,0.6945
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 3,Yes,1
demand congress take action on climate change pls sign the petition url,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 31,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 32,Yes,1
carbon age is killing us climate change legislation now url,Yes,1
obama says in tv interview that we can t allow china to wait on tackling climate change url,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 33,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 34,Yes,1
government claims global warming may cause cancer url,Yes,1
protect wildlife habitat from climate change url,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 35,Yes,0.6757
plan b california braces for climate change url,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 36,Yes,1
nine scenarios for imminent apocalypse only one is global warming url via user,Yes,0.5492
if capitalism doesn t end climate change climate change will end capitalism degrowth url,Yes,1
dc ft work for greenpeace to stop global warming 12 13 hr get involved call now 2 2 595 3368 greenpeac url,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 7,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 8,Yes,1
url ancient weapons emerge from melting arctic ice wow positive side of global warming other one is reclaim of dry land,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra 9,Yes,1
take action user help protect wildlife habitat from climate change url climatechange sierraclub saveterra,Yes,1
government report says global warming may cause cancer mental illness cnsnews com url,Yes,0.8373
sec warns publically held companies to advise investors of risks of climate change url csr,Yes,1
save the whales and they ll save us from global warming url tcot,Yes,1
al gore ira if a snake were coming up the aisle there wouldn t be a long debate about what to do and we dawdle about climate change,Yes,0.6368
we should be leaders on climate change but it is always put on the back burner url,Yes,1
rt user rt user grapes of wrath how much trouble does climate change mean for agriculture url,Yes,1
got allergies by jonah goldberg blame global warming from time magazine allergies worse than ever blame url,Yes,0.6757
climate change and why your allergies are getting worse url via user,Yes,1
watch pbs dimming the sun for more on this npr could cleaner air actually intensify global warming more at url,Yes,0.6671
rt user people in poor countries are 2 times more likely to be affected by disasters caused by climate change than those in the developed world,Yes,1
got allergies by jonah goldberg blame global warming from time magazine allergies worse than ever blame url,Yes,1
oxfam climate change devastating rural ethiopian communities url oxfam climatechange,Yes,1
alexi user believes in putting a price on global warming pollutants to spur development of alternative technology p2 ilsen,Yes,1
go for the green olympic athletes push for climate change action url climatechange climateaction green,Yes,0.6479
dc ft work for greenpeace to stop global warming 12 13 hr get involved call now 2 2 595 3368 greenpeace url,Yes,1
health effects are a big deal rt user impacts of climate change extend to human health url moms families eco,Yes,1
climate change causing change in ocean chemistry at unprecedented rate url climatechange,Yes,0.6746
global warming can be good for url another cool video,Yes,0.6972
allergies worse than ever blame global warming time com url,Yes,1
rt user bats birds lizards can fight climate change wired url via user science rt user,Yes,0.6674
for earthday global warming could affect patient symptoms url classic post,Yes,0.8374
just signed an earthday petition to take action on climate change via user url,Yes,1
treating climate change as a curable disease url,Yes,1
global warming believe it vallejo times herald your editorial on global warming keeping the debate honest url,Yes,1
see how ccx member motorola is working to be part of the solution in addressing the climate change challenge url,Yes,1
rt user bolivian president blames capitalism for global warming url us policies threaten indigenous peoples p2,Yes,0.5047
interesting point re why macro probs like global warming are never solved politicians need only solve immediate probs for re election,Yes,0.5337
rt user yet another gift from global warming increased allergy attacks url p2,Yes,1
global climate change effects on the mid continent download to view animations url,Yes,1
are you ready for climate change if so let your lawmakers know how tell them sign petitions drop a hint,Yes,1
umc expands climate change policy and carbon emission reduction goals url,Yes,0.643
allergies worse than ever blame global warming thanks to an unusually cold and snowy winter followed by an earl url,Yes,1
ridiculous giving a climate change denier a nature show keep sarah palin off discovery url via user,Yes,0.6257
report allergy season to get worse with climate change read from user this really sucks for me url,Yes,1
coda automotive lauded for innovation and technology efforts to combat climate change and air pollution url,Yes,1
report claims climate change is to blame for increase of allergies url,Yes,1
tulips in mid april in chicago love the global warming url,Yes,1
global warming will make allergies worse for 25 million americans hitting those with asthma hardest wwf climatewire globalwarming,Yes,1
85 degrees in april eh hellooo global warming nice to meet u,Yes,1
rejoice ny times mentions crop wild relatives in article about adapting agriculture to climate change url agriculture,Yes,0.6705
u s document calls for global regime to tackle climate change url,Yes,1
u s document calls for global regime to tackle climate change url,Yes,0.6452
rt user rt user two more glaciers are gone from namesake nat park due to global warming usgs reports url,Yes,1
rt user feeling the heat down under when it comes to climate change erwin jackson the climate institute url,Yes,0.7282
uk leads the way rt user schumacher college mobilising democracy to tackle climate change url,Yes,1
exclusive climate change could raise cost of u s allergies url,Yes,1
rt user harvard and mit receive 2 million to study health and environmental impacts of climate change url,Yes,1
sen kerry writing in the hill today u s must lead on climate change url,Yes,0.689
fight climate change from all fronts url climatechange saveterra 1,Yes,1
fight climate change from all fronts url climatechange saveterra 2,Yes,1
exclusive climate change could raise cost of u s allergies url,Yes,1
fight climate change from all fronts url climatechange saveterra 3,Yes,1
fight climate change from all fronts url climatechange saveterra 4,Yes,1
fight climate change from all fronts url climatechange saveterra 5,Yes,1
fight climate change from all fronts url climatechange saveterra 6,Yes,0.6617
rt user the clothing industry started global warming in the first place yvon chouinard patagonia fortunegreen,Yes,0.6378
fight climate change from all fronts url climatechange saveterra 7,Yes,1
fight climate change from all fronts url climatechange saveterra 8,Yes,0.6844
filmmaker travels the globe to find people fighting climate change url,Yes,1
filmmaker travels the globe to find people fighting climate change filmmaker travels the globe to find people url,Yes,0.6557
rejoice ny times mentions crop wild relatives in article about adapting agriculture to climate change url agriculture,Yes,0.6406
effort to remake america s energy future and fight global warming could be harmed or spurred by gulf oilspill url,Yes,1
how would catastrophic climate change change the average persons life think 1 unemployment every where on the planet for several decades,Yes,1
arctic ice loss accelerating global warming research topnews new zealand global warming may be getting worse tha url,Yes,1
plants effective way of tackling global warming washington apr 3 ani plant leaves account for less than one url,Yes,1
namibia govt to get active on climate change url,Yes,1
plants effective way of tackling global warming url,Yes,0.672
wait here s an idea it s natural climate change not human induced global warming url,No,1
glacial melt from global warming could unplug volcanos earthweek a diary of the planet eruptions of glacial vol url,Yes,1
33 us military generals admirals climate change is threatening url,Yes,0.6694
off shore drilling threatens wildlife and contributes to climate change urge obama not to expand drilling url,Yes,1
allgov news global warming isn t all bad if you re an in the frozen reaches of canada warmer temperature url,Yes,0.6928
government report says global warming may cause cancer mental illness a new government report says global warmin url,Yes,1
global warming picking up steam obama top science adviser says john p holdren obama s top science adviser dis url,Yes,0.6779
rt user lyme disease already costs gt 2 5 billion a year and climate change could make it even pricier url,Yes,1
whale excrement to check global warming topnews united states new researcher carried out by the australian antarc url,Yes,0.649
government report says global warming to cause cancer mental illness cnsnews com by matt cover staff writer cn url,Yes,1
epa issues report on u s climate change indicators warming is having measurable effect across ecosystems url,Yes,0.9298
report save the whales and they ll save us from global warming need more proof that global warming is the proble url,Yes,1
rt user wine grapes have become our best early warning system for the effects of global warming url via user,Yes,0.6797
wine grapes have become our best early warning system for the effects of global warming url via user,Yes,1
epa climate change indicators report shows the evidence of global warming all around us url,Yes,0.6575
epa climate change indicators report shows the evidence of global warming all natural resources defense counc url,Yes,1
exclusive climate change could raise cost of u s allergies url,Yes,0.7041
syed husin wanted to know the effects of global warming to malaysia url,Yes,0.6502
cleaner air could speed global warming url,Yes,1
exclusive climate change could raise cost of u s allergies url,Yes,1
new facts support global warming case recent letter writer charles kesner is either out of touch with reliable ne url,Yes,1
qut researchers track climate change url,Yes,0.5865
study climate change threatens your health too url,Yes,1
rt user slideshow of alaska before the effects of global warming url,Yes,1
in vino veritas the delicate wine grape has become our best early warning system for the effects of global warming url,Yes,1
conservation international give a gift that helps prevent climate change provides habitat for endangered specie url,Yes,1
conservation international give a gift that helps prevent climate change provides habitat for endangered specie url,Yes,1
climate change is real and climate change has consequences for all of us url,Yes,1
global warming contributes to rapidly increased ocean acidification the us national research council warned last url,Yes,1
global warming threatens ca mau province ca mau the southernmost province of ca mau was among localities most v url,Yes,0.6621
global warming means local storming url,Yes,0.7158
could cleaner air actually intensify global warming by npr staff as much of the world marked earth day this past w url,Yes,0.716
renewable energy advances ocean saltiness shows global warming after pulling data from 1 6 million salinity url,Yes,1
the key to fixing global warming china magazine it s late november 2 9 and us energy secretary steven chu is url,Yes,0.6358
global warming ocean chemistry is changing faster than it has in 8 years and that s because of the carbon url,Yes,0.9324
topography of mountains could complicate rates of global warming sciencedaily apr 25 2 1 a new study concl url,Yes,1
soaring mercury blame it on global warming agartala apr 14 environmentalists have attributed the url,Yes,0.8824
africa monitoring a changing climate the gathering environmental crisis presented by global warming url africa,Yes,1
ocean currents still strong despite global warming researchers at nasa have discovered that the ocean currents url,Yes,1
long distance journeys out of fashion global warming may be causing evolutionary changes in bird migration sourc url,Yes,1
funniest conservative comment of the day climate change is due to increased heat from the earth s core,Yes,0.6788
scientists say global warming affects marine life in narragansett bay rhode island winter flounder no longer re url,Yes,0.6495
redding architect theimer global warming doubters stupid james theimer known locally for his environmentally url,Yes,1
indonesia tree program looks to reduce global warming planting trees is one way to help maintain the natural pres url,Yes,0.6881
earth day report climate change is endangering our health url,Yes,1
global climate change not global warming url,Yes,0.622
cubeyond wlliam lau says climate change is happening and we must deal with it no matter what is causing it chapmanu,Yes,1
chew s focus is on the ways global warming is causing the redistribution of plant and animal species url,Yes,0.6982
royal society stunner hazardous geosphere activity and global warming linked periods of exceptional climate chan url,Yes,1
fighting poverty and global warming in africa by marc gunther on 4 21 2 1 22 1 comments views rarely do url,Yes,1
military leads fight against climate change pew reuters url cleantech greentech,Yes,1
spring comes 1 days earlier in u s due to climate change url,Yes,1
nasa launches climate change supercomputer url,Yes,0.511
user excellent take on why even environmental economics limits our climate change policy options url climate agw,Yes,1
the key to fixing global warming china url,Yes,0.6535
user is here tonight at 7 3 to discuss what climate change is doing to women children families communities url,Yes,1
baby boomers must tackle global warming while they can by anonymous baby boomers have enjoyed peace and the large url,Yes,1
ocean saltiness shows global warming is intensifying our water cycle treehugger url,Yes,0.6822
daniel c esty climate change plan b bringing down greenhouse gas emissions with a cap and trade system of tr url,Yes,1
military leads fight against climate change pew washington reuters the u s military the government s large url,Yes,0.7072
global warming implicated in shortened bird migration science codex global warming implicated in shortened bird url,Yes,1
nasa s gift to earth a climate change supercomputer url,Yes,0.6283
daniel c esty climate change plan b bringing down greenhouse gas emissions with a cap and trade system of tr url,Yes,0.7113
uw biologist links early blooms to global warming url,Yes,1
uw biologist links early blooms to global warming a researcher says plants in central wisconsin are flowering ear url,Yes,1
bolivian president blames capitalism for global warming environment news service cochabamba bolivia april 2 2 url,Yes,0.6917
uruguay tools needed for those most vulnerable to climate change global geopolitics net sites ips in s acosta url,Yes,1
an explosive idea are volcanoes the cure for global warming url,Yes,1
rt user leader of national indigenous women s org climate change is not just abt the climate its abt r lives bit ly 9gdzrw,Yes,0.8838
see where user change is happening rt user 8 part series on cities and climate change for bbc worldnews url,Yes,0.6629
carbon offsets how a vatican forest failed to reduce global warming christian science monitor from a scheme to c url,Yes,0.6856
buying carbon offsets may ease eco guilt but not global warming url,Yes,1
pat mooney on the dangers of geoengineering and manipulating the planet to combat climate change url,Yes,1
icelandic volcano s impact on global warming green transportation bird by alisa opar nasa satellites captur url,Yes,1
birds in southern england suffer from global warming url,Yes,1
volcanic ash cloud global warming may trigger more volcanoes url,Yes,1
republicans why do you oppose global warming environmental really it makes no sense to oppose efforts to red url,Yes,1
safe secure nuclear energy must be part of climate change solution url,Yes,1
global warming s eyjafjoell volcano triggers more global warming url,Yes,0.6314
state dept declares global warming unequivocal and primarily human induced url,Yes,1
5th us climate action report released global warming is unequivocal url,Yes,0.7158
global warming melting ice caps could help trigger more volcanic eruptions url,Yes,0.6762
photo we dare someone tell us that climate change isn t real url green eco greens,Yes,1
5th us climate action report released global warming is unequivocal treehugger by brian merchant brooklyn ne url,No,0.6373
since man can t mother nature to end global warming with volcanoes earthquakes hekla icelandic,Yes,1
blame the volcano trouble on sun and global warming url science,Yes,1
some hot health reminders on global warming the debate is over nearly all scientists and politicians agree tha url,Yes,0.6487
since man can t mother earth to end global warming with volcanoes earthquakes ashtag hekla icelandic,No,0.6565
rt user joe romm user climate change is a bfd if i can quote joe biden,Yes,0.7292
reinvent cities to stop climate change green living ideas url cities climate eco,Yes,1
all 3 major league baseball teams throw curve to climate change deniers cleantechnica url cleantech greentech mlb,Yes,1
cst a lack of air pollution is bad for global warming pirate s url,Yes,0.6505
rtuser an estimated 2 billion birds changed their migrating habits in last few decades due to global warming url,Yes,1
global warming melts ice and this can influence magmatic systems he told reuters url,Yes,1
user has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun,Yes,0.7307
volcanic ash is a good thing blocks the sun s heat lessens air travel bye bye global warming fb,Yes,1
why cleaner air could speed global warming air pollution news url,Yes,1
why cleaner air could speed global warming aerosol pollution which is now on the downswing has helped keep the url,Yes,0.6029
why cleaner air could speed global warming aerosol pollution which is now on the downswing has helped keep the url,Yes,1
why cleaner air could speed global warming url,Yes,1
why cleaner air could speed global warming url,Yes,1
why cleaner air could speed global warming url,Yes,1
effects of global warming youtube effects of global warming stats back with more news for you today it s ama url,Yes,0.7597
it s global climate change not warming ac read url,No,0.4623
global warming today blog archive how can we tackle global the only way at present is to reduce greenhous url,Yes,1
coda automotive lauded for efforts to combat climate change air pollution url,Yes,0.6641
ocean saltiness getting weird blame global warming indyposted blog a study conducted by scientists at austral url,Yes,1
science scientists explore the evolution of climate change url,Yes,1
a preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought url,Yes,0.8929
science scientists explore the evolution of climate change url,Yes,0.8996
coalition of the tired of waiting fighting climate change at ground level url,Yes,1
iceland volcano unlikely to slow global warming scientists url,Yes,1
science scientists explore the evolution of climate change url cleantech,Yes,1
iceland volcano unlikely to slow global warming scientists afp paris big volcanic eruptions have had a cooling url,Yes,1
global warming may make cricket bats history london cricket is facing a bizarre threat following a european unio url,Yes,1
volcano unlikely to slow global warming by richard ingham afpapril 16 2 1 4 44 am an eumesat satellite image s url,Yes,1
science scientists explore the evolution of climate change url,Yes,0.6357
fifty years ago i was teaching and preaching about global warming and its catastrophic effects on our climate url,Yes,1
science scientists explore the evolution of climate change url,Yes,1
obama china must act on climate change url,Yes,1
renewable energy possible solution to global warming by milton takei university alumnus 1992 in dealing with t url,Yes,1
effects of global warming youtube impact of climate change on there are many predicted effects for the en url,Yes,1
plz hlp fight global warming read my post abt effects of global warming url let me know what u think txs,Yes,1
un to battle poverty global warming newkerala com online news un to battle poverty global warming new url,Yes,0.7115
eaarth global warming is here to stay how will we deal with it url,Yes,1
allergies worse than ever blame global warming url,Yes,0.8787
germany is an important partner for us in trade as well as in the fight against climate change,Yes,1
global warming likely to worsen allergies in maine that s according to a new report released today by the nationa url,Yes,1
subtropolis u s a a creative solution to global warming 1 feet below ground url,Yes,0.6586
global warming or unemployment choose your own disaster by max jacobs companies producing greenhouse gases in url,Yes,1
this one explained the extreme cold weather we have experienced this winter as just one more example of global warming url,Yes,0.6506
user change giant glacier fall in peru causes deadly tsunami url,Yes,1
green cement made from rice may help tackle global warming london april 13 with the increasing rise in the url,Yes,1
can you feel the shift in consciousness 3k businesses create new ad for climate change action url via user,Yes,0.7377
rt user 3 businesses create new ad for climate change action cleantechnica url,Yes,0.6379
global warming threatens armenia by 2c higher temperature url,Yes,1
climate change deadly scientists suspect global warming may be contributing to strange deaths of arctic birds url,Yes,1
green cement made from rice may help tackle global warming london april 13 ani with the increasing rise in url,Yes,1
green cement made from rice may help tackle global warming url,Yes,0.6773
global warming at point of no return global warming has reached the point of no return a study published in th url,Yes,0.7104
world famous places endangered by global warming if climatologists predictions of global warming are right some url,Yes,0.6576
green cement made from rice may help tackle global warming london april 13 with the increasing rise in the url,Yes,0.3553
latest weapon in global warming fight green cement made from rice by fiona macleod and ruairi creaney scienti url,Yes,0.6686
latest weapon in global warming fight green cement made from rice url,Yes,1
coping with global warming how to save on utility bills by dealman view all posts by dealman actually this isn url,Yes,1
climate change building a green economy paul krugman nytimes com url greentech,Yes,0.6909
clean technology industry forecast is strong due to global warming concerns april 12 2 1 mmd newswire url,Yes,1
porous materials to reduce the climate change url,Yes,1
celebrate earth day by signing declaration of energy independence to show the senate we demand action on climate change url,Yes,1
top u s vacation spots becoming endangered landscape threatened by global warming mining weather environmental hazard population,Yes,1
leaders are failing to address the gravest threat our world has ever faced pressuring politicians on climate change is not working,Yes,0.9145
glacier national park loses two more glaciers due to global warming thaindian com by meena kar montana apr 11 url,Yes,1
plants can effectively tackle global warming don t have siliconindia account sign up forgot your password reset url,Yes,0.6474
plants can effectively tackle global warming don t have siliconindia account sign up forgot your password reset url,Yes,1
climate change affects subterranean ecosystems changes above the ground such as a higher concentration of carbon url,Yes,1
rt user gulf coast spill better give climate change legislation some momentum it s a bigger tragedy than we re even aware of yet,Yes,1
spill coal mine tragedy need for alt energy rt user gulf coast spill better give climate change legislation some momentum,Yes,1
gulf coast spill better give climate change legislation some momentum it s a bigger tragedy than we re even aware of yet p2,Yes,1
live now green gone wrong false hope and real solutions to climate change url,Yes,1
user i have it on good auth tht global warming also causes toe fungus we r all fortunate tht thr is no global warming tcot,No,0.9605
illegal war and the myth of global warming my main campaign platform for this election will be the illegal url,No,0.8946
it is in the 3 s what happened to spring global warming is for those that care to read about and not live it the coldest winter ever fu,No,0.6908
the scientific community was scamed by global green gov warming scam,No,0.9279
i truly fat ass gore should get the scam artist award of the decade with his global warming and energy credits worth close to billion,No,0.9289
hide the decline is the global warming nut jobs current policy its all a epic scam they are lying to the world climategate tcot p2,No,1
4 degrees in nyc please urinate on next liberal global warming climate change scum you see,No,1
rt user hey al gore see these tornadoes racing across mississippi so much for global warming tornadocot ocra sgp gop ucot tlot p2 tycot,No,0.9306
justinbiebersucks and global warming is a farce,No,0.9234
one stop book stop confirmed global warming is settled as a scam wnd com sussman s book the url mybookstop info,No,0.9344
boycott siemens for buying global warming climate change in their advertisements tcot sgp teaparty,No,1
climate change scam 3wordslibshate,No,0.6866
global warming vostok antarctica sits at 1 f with windchills to 142f url tcot,Yes,0.5044
global warming vostok antarctica sits at 1 f with lows forecast to 11 f url breaking,No,0.6818
rt user scam another warmist has to be rescued from arctic cold global warming activist transported url tcot p2,No,1
why isn t user upset with the volcano for causing global warming climategate,No,1
rationalists who believe aliens exist global warming caused by humans might as well believe in jesus miracles angels fairies tcot p2,No,1
user hmmm so global warming is a fraud,No,1
monster chiller horror global warming url have you considered the possibility that your climate models are wrong tcot,No,0.6745
proof there s no climate change rt user 75 ft killer tsunami created in a peruvian lake when a glacier fractures falls into the lake,No,0.9438
cow farts exonerated from global warming url al gore sighs huge relief from his rectum cbiz tcot sgp teaparty ucot,No,0.5121
cow farts exonerated from global warming url al gore sighs huge relief from his rectum cbiz tcot sgp teaparty ucot,No,1
user real science not algore s climate change science hacks with their man made global warming hoax gore palin,No,0.9679
3 anti global warming scientists can t be wrong stranger nature magazine the academic journal that int url,Yes,0.5112
user get a headache when grandson tells how argued w teachers about global warming being big hoax one threatened to flunk him,No,0.6884
user global warming is like the goldman execs full of sh t,No,1
global warming baloney according to the experts at nasa the difference between weather and climate is a measure url,Yes,0.6387
your voice the fraud of global warming by tim michael case tracy since the early 197 s our public school syste url,No,0.6361
computer forensics experts are there still any idiots out there that belive global warming is true url,No,0.9582
liberal looney toons global warming alarmist comes home with artic frost bite gather com they wont learn huh lo url,No,0.6334
dear global warming people it is 52 degrees in s ca on 4 23 heat on contents of this message are copyrighted and property of author,No,1
i am freezing still in southern california global warming fanatics come visit me wear a hat gloves and down jacket,No,1
user you are so on target bullshit is even better than the climate change hoax gore climate change is bullshit leadersdebate fact,No,1
climate change fraud the scandal of solar power in spain url,No,0.6666
climate change fraud global warming ethanol ddt and url,No,0.7114
despite climategate left investing heavily in global warming hysteria as new way 2 impose nat l international controls on human freedom,Yes,0.6568
rt user obama does a 3 minute earth day video fails to mention the global warming hoax url,No,0.7043
alms let me politely suggest that i do not watch motorsports to be lectured on imaginary global warming nascar,No,1
someone go tell the climate change crowd to go hang after they read this url tcot,No,0.6646
gagnon like most liberals you have been duped by the global warming socialist propaganda url,No,1
i believe that global warming is an international conspiracy perpetrated by ge in order to sell more air conditioners,No,1
un process in danger unless world agrees on climate change telegraph url global warming is a fraud for world government,No,0.6663
reid to graham on climate change it s up to you url,Yes,0.6735
what do you know about climate change test your knowledge with the following 1 questions user url,Yes,0.683
global warming you tube explanation you will enjoy ipcc teaparty url,Yes,0.4775
tom switzer australia s changing climate change climate url,Yes,0.672
i uploaded a youtube video maximsnewsnetwork energy climate change u n s ban ki moon untv url,Yes,0.6729
climate change you tube animation you will like ipcc gop url,Yes,0.6193
politico story on the state of play in dc re climate change and immigration url bottom line immigrants r being backstabbed,Yes,0.6984
the choice that won t change the world and the one that might url youth climate mvmt,Yes,0.6916
memo on the white house correspondents dinner if you want to be green report on climate change i d never be on url,Yes,0.4735
global warming dirt carbon peril models are wrong say boffins greenhouse experiments show reduced greenhouse url,No,0.3583
senior technical advisor communities and climate change environment and development new york user jobs url,Yes,0.6482
the choice that won t change the world and the one that might url youth climate mvmt,Yes,0.6579
connecticut buys into global warming but some senate candidates do not one might assume that regardless of url,No,0.3545
afx uk focus 2 1 4 26 2 41 scenarios challenges to california climate change law by peter henderson url,Yes,0.5907
scenarios challenges to california climate change law source reuters by peter henderson san francisco april 26 url,Yes,0.4805
cnn graham s exit puts climate change bill in limbo a climate change bill that was scheduled to be unveiled at a url,Yes,0.646
reflections of a rebel climate change and social justice towards the more familiar image of green capitalism url,Yes,0.662
graham s exit from talks puts climate change bill in limbo url,Yes,0.6445
tea party with a difference climate change really hits will come with instructions in chinese go green tea url,No,0.6678
passing any legislation at all will kill the climate change bill url,Yes,0.6792
cafe scientifique presents global warming talk film the april cafe scientifique presentation will be on the url,Yes,0.5127
cafe scientifique presents global warming talk film the april cafe scientifique presentation will be on the url,Yes,0.66
alexia parks global warming of the heart earth day is over or is it thousands of conscious actions took place url,Yes,0.6812
alexia parks global warming of the heart earth day is over or is it thousands of conscious actions took place url,Yes,1
alexia parks global warming of the heart earth day is over or is it thousands perhaps millions of consc url,Yes,1
alexia parks global warming of the heart earth day is over or is it thousands perhaps millions of consc url,No,0.4997
webb touts global warming department little rock the arkansas lawmaker who authored legislation that created url,Yes,0.6436
rt user rt user user and sebastian copeland at premiere of climate of change right now tribeca,Yes,1
climate science s chinese whispers the books that separate global warming fact from fiction the culture shock of url,No,0.4858
don blankenship calls efforts on mine safety regulation as silly as global warming url,No,1
sarah palin on climate change url earthday,Yes,1
don blankenship calls efforts on mine safety regulation as silly as global warming at his labor day anti union url,No,1
global warming vs shangri la url,Yes,0.6778
2 9 year in which sceptics stole running on climate change australian business could show our politicians the url,No,0.4825
rt user rt user video larry brilliant on the volcano and climate change boing boing url,Yes,0.6258
earth day at 4 the politics finally erupt url,Yes,0.6365
rt user us climate change negotiating plans revealed url if doc left behind on a copy machine can be believed,No,0.4562
overheard from carol browner assistant to the president for energy and climate change she mentioned that url,Yes,0.6807
rt user american media isn t putting out much on climate change that s why you should watch grit s take url,No,0.4802
american media isn t putting out much on climate change that s why you should watch grit s take url,Yes,0.6987
john fugelsang climate change and coal goes shopping gun advocates rallied this week in support of their rig url p2,Yes,0.6562
climate change reporting project involves slate wired pbs cir atlantic mother jones url can they satisfy all those editors,Yes,0.7114
climate change and our identity url,Yes,0.6295
climate change and our identity url,Yes,0.682
rt user itz cold we could put our bodies together n start global warming,Yes,0.6472
as i said only days ago we will start seeing much more tempered reporting on global warming starting w the user url,No,1
watchdog backs dft climate change advert a clever television advert claiming car pollution is the worst url,Yes,0.6876
can a book on geoengineering change the climate conversation url,Yes,0.7086
can a book on geoengineering change the climate conversation url,Yes,0.6878
no matter if you believe in global warming or not we can all do our part to live better and save money resources url,Yes,0.6515
rt user best propaganda poster ever url modern version substitute climate change deniers,No,0.6487
usa sec issues guidance on climate change disclosures url,Yes,0.7035
issue 2 of wires climate change now available free online url,Yes,1
senators prepare compromise climate change bill yahoo news url via user,Yes,1
press releases april 2 1 climate change negotiators agree on intensified url via user,Yes,0.465
user global warming clearly,Yes,0.4683
npr s science friday and global warming url,Yes,1
user to address global warming skeptics at 4th iccc url agw tcot tlot climate,No,0.4881
green climate change wyss fellow sierra nevada alliance url,Yes,1
ways the difficult economy has helped people focus on family and climate change clinical trials collagen url,Yes,0.6488
user it has made frank luntz talking points on climate change impotent as now the focus is on immigration reform great job,Yes,0.6925
veteran climate activist asks for name change for earth url,Yes,0.6878
climate scientist sues newspaper for poisoning global warming debate url,Yes,0.655
rt user rt user climate scientist sues newspaper for poisoning global warming debate url p2 tcot,Yes,1
earth day live chat with carol browner director of the office of energy and climate change policy for the obama admin url,Yes,0.5307
can you hedge against climate change read this url user post then look at our weather products url,Yes,1
kerry releases climate change law this week how does it affect the sector find out by reading the week in green energy url,Yes,0.6568
user here s a link to the volcano lt gt global warming story url,Yes,1
user yes i have heard at least one person make the connection between the volcano and global warming,Yes,0.4526
user i think it will be the man that controls global warming is racist,No,0.5038
what i leaned this week global warming famine nuclear annihilation no threat to humanity is more dangerous than the double down,No,0.6858
